Property_ID,Property_Name,City,Neighborhood,Price,Bedrooms,Bathrooms,Square_Feet,Property_Type,Latitude,Longitude,School_Distance,Parking,Age_of_Property,Status,Builder,Listing_Date
PROP00726,Hinjewadi Court,Pune,Hinjewadi,18694000,4,3,2075,Independent House,18.451739,73.789203,6.3,Yes,0,Available,Sobha Ltd,2022-04-16
PROP00543,Yelahanka Towers,Bangalore,Yelahanka,33022000,2,2,1903,Apartment,13.047936,77.674231,7.1,Yes,0,Available,Prestige Group,2026-06-16
PROP00942,Saket Estate,Delhi,Saket,44246000,1,1,1884,Apartment,28.636694,77.09689,7.3,Yes,10,Sold,Shapoorji Pallonji,2022-11-18
PROP00616,HSR Layout Residency,Bangalore,HSR Layout,22092000,2,2,1794,Independent House,12.93396,77.514957,5.1,No,2,Under Construction,Independent Builder,2024-11-21
PROP00804,Marathahalli Court,Bangalore,Marathahalli,31496000,3,2,1947,Apartment,12.965988,77.527822,5.6,Yes,25,Under Construction,DLF Ltd,2022-11-26
PROP00736,Worli Estate,Mumbai,Worli,58529000,4,,3151,Independent House,19.129812,72.840948,4.8,Yes,0,Available,Tata Housing,2024-02-26
PROP00471,Miyapur Enclave,Hyderabad,Miyapur,3631000,1,1,642,Studio,17.308675,78.496065,5,Yes,0,Under Construction,,2023-06-21
PROP00558,HSR Layout Heights,Bangalore,HSR Layout,23495000,2,2,1462,Apartment,12.988376,77.554094,2.8,No,10,Available,DLF Ltd,2026-02-18
PROP00822,Nungambakkam Residency,Chennai,Nungambakkam,71247000,3,2,4389,Penthouse,13.13676,80.330234,7.3,Yes,10,Sold,Godrej Properties,2022-01-15
PROP01023,Janakpuri Gardens,Delhi,Janakpuri,59238000,3,3,2287,Independent House,28.783081,77.120494,5,No,0,Available,Local Developer,2025-04-25
PROP00250,Juhu Enclave,Mumbai,Juhu,42976000,1,1,2146,Apartment,19.111772,72.942465,5.2,No,3,Available,DLF Ltd,2022-07-24
PROP01007,Bandra Residency,Mumbai,Bandra,31636000,2,2,948,Apartment,19.062814,72.929848,1.4,Yes,2,Available,Godrej Properties,2022-12-01
PROP01050,Vastrapur Homes,Ahmedabad,Vastrapur,22109000,3,3,2610,Villa,23.03112,72.582272,0.2,Yes,1,Available,Lodha Group,2026-01-16
PROP00866,Kothrud Enclave,Pune,Kothrud,26610000,3,3,2304,Independent House,18.599948,73.803381,1.4,,25,Sold,Tata Housing,2023-04-09
PROP01113,Satellite Gardens,Ahmedabad,Satellite,35145000,3,3,2654,Penthouse,23.053187,72.528168,6.8,No,20,Sold,Lodha Group,2024-11-05
PROP00844,Rohini Gardens,Delhi,Rohini,13360000,1,1,510,Studio,28.695434,77.164034,1.6,No,2,Available,Brigade Group,2023-02-12
PROP01096,Prahlad Nagar Towers,Ahmedabad,Prahlad Nagar,10944000,3,3,1422,Apartment,23.052207,72.514715,1.7,Yes,20,Available,Godrej Properties,2023-05-31
PROP00978,Porur Towers,Chennai,Porur,12916000,3,2,1010,Apartment,13.079399,80.342602,4.2,No,25,Under Construction,Independent Builder,2022-11-19
PROP00276,Satellite Court,Ahmedabad,Satellite,8107000,3,3,1000,Apartment,23.069983,72.627315,2.5,Yes,3,Sold,Local Developer,2025-08-19
PROP00621,Marathahalli Residency,Bangalore,Marathahalli,67053000,5,5,2538,Villa,12.91178,77.569659,0.3,Yes,0,Sold,Brigade Group,2024-05-29
PROP00549,Karol Bagh Towers,Delhi,Karol Bagh,80701000,4,4,2337,Villa,28.727085,77.14824,7.4,Yes,0,Available,DLF Ltd,2025-01-23
PROP01054,Rohini Enclave,Delhi,Rohini,19420000,2,2,1802,Apartment,28.664151,77.118232,,Yes,0,Available,Lodha Group,2025-01-13
PROP00171,Worli Towers,Mumbai,Worli,53195000,3,2,1540,Independent House,19.086115,72.900905,5.2,Yes,7,Available,Godrej Properties,2023-06-14
PROP00042,Marathahalli Enclave,Bangalore,Marathahalli,24045000,2,1,2236,Independent House,13.027532,77.646173,1,Yes,25,Under Construction,Puravankara,2025-12-19
PROP00647,Powai Towers,Mumbai,Powai,55370000,1,1,1975,Apartment,19.108224,72.90374,0.8,Yes,0,Available,Prestige Group,2022-06-11
PROP00372,HSR Layout Heights,Bangalore,HSR Layout,25421000,2,2,1640,Apartment,12.99898,77.558225,1.4,Yes,0,Under Construction,Shapoorji Pallonji,2024-11-18
